prompt,completion
学习种子法则大概一年了，头脑里是相信这个体系，但潜意识却还不能接受，特别是在分享智慧的时候，对体系外的人不敢去讲，担心别人说我很奇怪，或被误以为受了打击要遁入空门，如何改变这种心态和想法?生活中，生气抱怨时，就会忘记空性。如何才能时时铭记空性，运用空性?,"这两个问题的相互补充是非常完整的，同时在学习金刚智慧中，也是非常普遍的。在 DCI 7 阶课程上，格西老师提醒我们说：“我们已经是老同学了，我们在一次又一次的学习和分享笔的故事，知道这支笔是我们创造的，但是每当我们遇到那些坏的事情，糟糕的人，当这些发生的时候，我们的潜意识还是觉得那支笔在外边的，是那支笔在告诉我们，它是一支笔！笔的故事是非常重要的，它能够让你从金刚智慧中获得最根本，最重要的两把秘密钥匙：第一是空性，第二是铭印，也就是因果、种子。我想告诉大家，即使像姚老师学习智慧10年，讲了有不下1000多次笔的故事，同时跟随格西老师学习 DCI 课程，跑去美国、墨西哥参加格西老师更深的古老经典课程，在生活当中我仍然会生气、抱怨。我们学习智慧，知道世界是由我们创造的，一切都是种子开花结果的呈现。我们种下太多的种子，让我们非常习惯的以为，这个世界是向我们扑面而来的，而不是我们自己创造的。 我们要接受，在这个智慧的学习中，是有反复的过程的。有时候是会忍不住发火、抱怨、痛苦、焦虑、迷茫，甚至觉得没有力量，不知道该如何去解决，这些问题姚老师也遇到过。不过，要恭喜提问的朋友，你们已经觉察到自己正被旧有的习气所牵扯，并且与新的终极智慧体系去对抗，这是一个非常大的进步，因为这个世界上有90%的人，他们连觉察都没有。 举个例子，我们生而为人，种子库里就一定有黑种子和白种子，也会有不黑不白的中性种子，我们把它做一个拟人化的比喻：黑色种子的聚集成为心魔，白色种子的聚集成为智慧天使。在我们内心深处，天使和魔鬼一直在交战。天使告诉我们，一切都由我们创造，我们要种下十善业，当遇到问题的时候，要拔除与之相关的坏种子。天使的声音还是有点微弱，因为它才刚刚起步。但心魔的种子相对很强大，因为在过去的几十年里，我们一直以为这个世界是朝我们扑面而来的，我们遇到一些人或事的时候，我们会抱怨、生气、咆哮，同时我们也会嫉妒，幸灾乐祸，苛责别人、说一些尖锐的语言，甚至会有欺骗等。这些坏种子构成的心魔，目前还很强大。我们能够觉察到这是心魔在捣乱，已经是很大的进步！ 那如何去対治它呢？最好的対治，就是去学习和分享金刚智慧并且要去做功课，把所学到的智慧在生活中体证，这是最好的方法。 具体的方法我们提到：头脑中有体系，生活中会忘掉，事后会想起。其实事后能想起，这已经是很了不起了，我们现在要做的，就是怎样把事后想起的时间，提前的更快一些，更早一些。过去，我们跟一个人生气，会生气一个月，甚至更久，比如说，夫妻冷战就是这样，我们现在不一定能想起当初冷战的原因了。我们冷战了一年的时间，一直没有觉知，不知道这个人是从哪里来，觉得让我们生气的人和事，是从对方那里来的。 如果我们能更早地发现，并停止这种愤怒，像我们有些学习比较精进的同学，可能只生气一天，更精进更有智慧的同学，可能是刚刚生气一分钟，就已经觉察到，并且决定把它停下来了。如果我们能够做到这样，这就已经是在进步，我们内心的天使，就在不断的茁壮成长，所以这是一个方法，让我们生气的时间，由原来很长很长的时间，缩短到很短很短的时间。 我们之所以要练习缩短这个时间，不是因为要忍着脾气，而是因为有智慧的指引，知道那些让我们发火的人和事究竟从何而来，我们觉察到愤怒，过去发火十分钟，去咆哮那个让我们发火的对象，学习智慧后很快觉察到了，提前结束了咆哮与发火。 修行，不是让我们学完了这个智慧半年一年之后，我们就成为圣人，然后再也不发火了，如果是这么容易，那么这个世界，早已经天下太平，所有的人都丰衣足食，都幸福快乐了。正是因为人们还有那么多心魔和习气，所以要努力，按照前面教给大家的方法，去努力，就能够一步一步地，去战胜这些旧有的习气。 那我们怎么去传播智慧、分享智慧呢？格西老师说过，传播智慧最好的方式：第一步，让自己成为成功的榜样；让自己成为一个更快乐、更宁静的人；让自己成为一个事业更成功、家庭更幸福、健康快乐的人！你的健康快乐和幸福，自然而然会感染到身边的人，他们就会好奇，这个时候再去跟别人分享金刚智慧，别人会更愿意去接受，而且更愿意去尝试。 帮助他人的方式分为三个层次：  第一个层次： 给别人他所需要的。中国有句古话就是“授人以鱼”，就是给人一条鱼""，这是第一个层次。当这个人特别急需帮助的时候，比如他要搬新办公室了，那就帮他搬家；或者他需要员工，那就帮他资源对接；或者他急需一笔生意上的资金等，你可不可以慷慨地伸出援手，这就是第一个层次。首先授人以鱼，对方所需要的帮助，力所能及的先给到对方。   第二个层次:    教人钓鱼的方法。十善业的第一颗就是要爱护生命。格西老师举例说，我们不说鱼，我们说苹果，第一步给人一个苹果，第二步教别人怎么种苹果。你就可以去跟别人分享你的事业是怎么样获得成功的，哪个网站的招聘成功率会更高，现在的行业，有些什么动态与新技术，这是第二步，教人种苹果的方法。   第三个层次： 与别人分享终极智慧。能够听闻到金刚智慧，并且生起欢喜之心后，还愿意按照这个古老智慧的教导去做、去行动、去帮助他人，是需要种子的。所以一定要因缘成熟的时候，再去跟他人分享终极智慧。如果你发现对方没有欢喜心，听不进去话就停下来，不要急着去分享，而是去努力践行智慧，让自己成为成功的榜样，等他们自己的种子成熟的时候，就会走进这个智慧的殿堂，获得终极幸福的方案！"
每天都要记录六时书，很难坚持，我真的很想放弃，怎么办？如何记好六时书？,格西老师曾经说过，六时书是通往幸福之书。它帮助我们觉察自己的身语意，在觉察当中我们种下的种子品质及数量会不断地提升，同时种坏种子的数量会不断地减少。 它将带领我们走向人生的更高境界。所以每天坚持记录六时书，是非常棒的行为与收获。想要让六时书助你实现目标，就要做到以下两点。 第一：调整心态。“完成比完美重要。”我自己记录六时书，也是反反复复的过程。刚开始跟格西老师学完课时，也没有记六时书的习惯。和大家一样，我也感觉每天要做的事情太多了，只是时有时无地记录。 尽管没有做到十分完美，好在我还是保持着记录，没有放弃。于是，记录六时书，就是在进步一点，又退后一点的反复过程中，总体上，还算是进步的。 所以一定要放下力求完美的标准，接受不完美的过程，重在坚持。 有时候会偷懒、会停顿，但只要每一次我们愿意重新捡起六时书、去记录，我们就应该随喜我们自己，欣赏我们自己，这样会种下种子，去使用这个通往幸福之书。 第二：两个六时书的记录方法。    方法一  六时书可以根据十善业，即 十颗好种子，来进行记录。 1、选择十善业的前三颗，一天六次来记录下最重要的好种子，及相对应反方向的坏种子；2、第二天，从十善业的后面的那四颗开始，到第六颗，这样三颗三颗循环滚动来记录。 但这种记录方法，不能让我们很快地达成目标。    方法二   当你在近段时间有一个特别清晰的目标想要达成，试试第二种记录方法。与目标相关，我要去种哪些好种子并拔出哪些坏种子呢？ 我会去记录能清晰看到目标的种子。在目标指引下，回想自己有没有种好的种子或者种下和目标相反的坏种子。 比如，如果你最近的目标是赚到钱，那你就要重点记录与慷慨相关的种子。 分享了什么，给予了什么，是不是一整天，都在维持慷慨的意识形态？还是说也有吝啬、舍不得的时候呢？ 六时书的妙处在于：持续观察。每隔几个小时检视自己一次，以防意识出现大偏差。这样每天在记录时，会直观地感觉到离目标更近还是更远了。看到收获，会让自己更有动力去记录它！ 以上是记录六时书的心态与方法。 我们的问题不仅仅是如何去记录，而是如何坚持更好地去记录，以帮助我们在一个阶段里，达成自己的目标。国际商业畅销书《能断金刚》（台湾版《当和尚遇到钻石》）的作者格西麦克罗奇，曾经说过，六时书，是通往幸福之书。如果你践行这套体系，就会看到结果。相反，如果没有实践的话，就不会看到结果。
特别想在经济上去帮助他人，但怕老公会不同意，所以都是背着他去捐助，我想，这样会不会种下不好的种子呢？应该怎么样去更好的平衡？,问题包括了两个模块。 第一，问题上感受到经济上是不独立的，你没有可以自由支配的金钱，可以这样理解吗？因为有自由支配的金钱，可以正大光明的去帮助别人。格西老师所写的《能断金刚》一书中，第七章46个商业问题中的第35个商业问题，有写了关于这个问题的金刚解药； 第二，担心老公不支持你去做帮助他人的事情，这个担心是从哪里来的呢?我们听了笔的故事应该知道，当我们内心生起对他人的误解，是从我这边过去的。你感受到一个可能会不支持你的老公，那要怎么去种子呢？ 种下一颗支持、鼓励、欣赏别人做好事的种子。 我们以前是不是有这种情况，当身边有人在去帮助别人的时候，会说：你不要去帮她，他的经济不好、人品不太好，你不应该去帮她……我们是不是给别人提过一些这样的建议? 或者我们以前看到一些名人在做公益捐款，我们却评论：也许他是为了出名、也许他是把公益当做往脸上贴金的工具、也许他是想偷税漏税，我们语言没有表达出来，但是我们的内心、念头，升起一些对别人做好事的否定。 拔除坏种子的同时，要去种下好种子，种下什么好种子呢？ 随喜他人的善行，只要是在眼前出现的好心人，比如我们在报刊和新闻上看到的，无论他有没有其它的缺点和错误。我们无法走进别人的内心，看清他到底为什么去做这样的事情。但在我们的世界中，已经呈现他们在帮助别人，我们就应该去随喜、欣赏和赞美并且支持他人的善行，当我们种下这样的种子，我们就会看到一位善良的老公，他支持我们去帮助他人。
我为公司打工，收入来源只有工资。如何提高收入，获得更多财富呢？,首先，你要种下获得财富的种子；第二，你也要种下让你所在的公司生意成功的种子。这可以分解为两个问题。 第一个问题：   如何种下财富的种子？ 财富之所以会来到我们的身边，是因为我们先帮助他人获得财富。 慷慨大度的心态，是获得财富最重要的种子。这体现在，我们的竞争者获得了升迁的机会，老板对他赞赏有加并给他加工资的时候，我们可以怎么做呢？去祝贺他、祝福他。 慷慨大度还体现在，当员工离职，并且你觉得很受伤的时候，能够慷慨大度地给他发当月工资、祝福他能够在未来的事业当中获得成功。 慷慨不仅仅是给钱。慷慨是意识层面的。 我们看到很多生意人在做公益、在给钱，但不代表他们就总是很顺利或者很快乐。这个更深的内容要学《能断金刚》这本书，里边有非常详细的教授。 从刚才举例中，就可以感受到这些都是慷慨大度。不仅是把钱捐出去就是慷慨，是时时刻刻觉察生起的每一个念头，每一个意识，是否处于慷慨的状态中。 如果现在最想种下的是财富种子，那就去记录慷慨大度的种子，时时刻刻在六时书里去记录。你就会发现我们大部分时间是小气和自私的，我们是先顾自己才顾别人的。 如果是这样的话，就要去转变这种状态。当我们转变这种状态，把手伸出去，去帮助别人的时候，财富就会自然而然地滚滚而来。   第二个问题：  如何种下让你所在的公司生意成功的种子？ 虽然你不是公司的决策者，但你仍然可以种下让你的公司生意成功的种子。 甚至你都不需要给经验和建议，你只需要去聆听，表达你的同理心，并且去帮助他人的生意成功、去给他人对接资源、去帮他人介绍客户、去安慰他人、帮助他人。 通过种下帮助他人生意成功的种子，回向给你所服务的公司，祝福你的老板生意成功。
我有时做了一点小小的好事，感觉不值一提。没必要记录在六时书里，也不好意思拿出来咖啡冥想。但格西老师说“种子很小，果实很大”。还有，为什么他说一弹指间就有65颗种子成熟？为什么再小的种子，也会翻倍增长呢？,分两个部分来理解。  一弹指有65颗种子，是怎么看见的？ 格西老师在一次教学中回答：Fotuo之所以是 Fo，从字面上看就是“开悟的人“。开悟的人，他所具有的能量，就是他可以去到过去、现在和未来，在不同的时间和空间，他用他的 Fo 眼看到很多我们现在用肉眼无法看到的。 在2500年前，如果 Fotuo 只是一个在印度某个小城邦中，坐在某个很小的地方，给大家讲道理的普通人，他怎么会知道一滴水里有千千万万的生命，说我们都要去爱惜，要去保护它们呢？ 那时候也并没有放大镜、显微镜和望远镜，但是 Fo 眼已经可以看到最微小的一滴水里，有千千万万的生命，也可以看到整个宇宙浩瀚的虚空中，有如恒河沙数一般的，像地球一样的星球存在； 自然，他也可以看到在我们眼前只是一个瞬间、一个弹指，但是在他的眼里，这就好像是摄影胶片的胶片机，在减缓它的转动速度。 现代的电影科技，已经让我们知道一格一格的胶片，可以让空白屏幕产生一个人的影像连动的效果。 看电影时，在一块空白的屏幕上，能够看到人在动，这是因为在后面有一个电影胶片，它在以每一秒钟25帧的速度运转。 如果我们放慢胶片的速度，就会看到屏幕上的人动作也会放慢。 Fotuo 的眼睛就具有这样的能力。在我们看来是一个弹指这么快的速度，Fotuo 能将它像慢动作放映一样，一帧一帧地数清楚。他看见，一个弹指是有65颗种子在成熟。   种子为什么会翻倍呢？ 储存在我们心识当中的业力种子，就像植物界的种子一样。 比如在生物课上，你学习到单细胞生物是如何发展壮大的，以及我们人是如何从一颗精子和一个卵子的结合，通过几何倍数的增长，变成我们现在拥有几千亿个细胞所组成的人的状态。 之后再去思考所有种子、所有细胞如何发展壮大的整个演变过程，就可以明白在我们意识中的业力种子是如何成倍地增长的，会有非常清晰而且直观的认识。 结合这两点，就不难理解格西老师说的，即便是微小无心的对他人的举动都会在我们的意识中种下种子，并在其开花结果的时候，形成巨大的体验。 所以，哪怕只是小小的善行，也要随喜赞叹自己，哪天，你收到一笔巨款，没准就来自曾经小小的慷慨。 反之，小小的恶行，更要立即忏悔改过。正所谓勿以恶小而为之，勿以善小而不为。
老师们常说：学习英语最好的方式就是“多听、多说、多练”，而种子法则却告诉我们，“要去教别人学英语”，从而种下有效学习英语的种子。我想问，等种子开花结果时，是有别人来教我们英语呢？还是我们的英语会无师自通突飞猛进呢？,首先分享一个叫《阿司匹林片的故事》。 当我们头痛的时候，大家都知道有一种治头痛的特效药叫“阿司匹林片”。 在药店买的阿司匹林片，瓶身外包装上有药片所包含的几种成份。其中一定会有一个注明是：有效成分占多少克；并且标注有效期，生产厂家。 但是大家有没有仔细思考过：当我们头痛去吃阿司匹林时，就算是由同一厂家、同一批次、按照同样的成份生产、且每一片的有效成分也完全一致的阿司匹林片，你仍然会发现：它有时候有效，有时候无效；对我会有效，但是对你可能就无效；在今天有效，但是明天可能又无效了；今天吃一片就有效，明天可能要吃两片或者三片才有效。 一个完全同批次、同厂家、生产出来的含着同样有效成分的药片，但并不是100%的有效。 但我们也不会拿着药瓶，回到药店跟销售员说：“我买了你100片阿司匹林，只有30片能治我的头痛，其他的都无效，请你把70%的钱退给我”。 销售员会说：“你疯了吗？”，我们也会觉得自己好像不可理喻。 这正是我们要去思考的：世界运作的真相到底是什么？ 当我们不去研究真相，只是活在表象上的时候，就永远生活在几率的世界里。 与几率相反的是定律。什么是定律？就是一定会发生的事情。 比如：你种下西瓜的种子一定会收西瓜，种下苹果的种子一定会收苹果；种子一定是小的，果实一定会大过种子的；如果你不种就一定不会有收；如果你种下，它就一定会越长越大；这就是种子的定律。 如果我们不明白种子定律，就只是在玩几率游戏；就算阿司匹林片是同批次、同厂家、同样的有效成份，生产出来的也都是几率游戏。 回归问题的答案： “多听多说多练”，这类学习英语的方法是几率游戏还是定律游戏？ 如果仔细思考你就会发现：有些人用某种方法真的进步了；有些人用同样的方法却没有效果；有些人也是每天多听、多练、多学，可仍然没有进步；有些人好像说的，练的也不是很多，而他的英文进步却很快。 所以我们会发现，所有这些学习方法就像阿司匹林片，都是几率游戏。 是什么在影响着我们最终的成功或者失败？是种子。 你有获得成功的种子你就会成功。 如果你种下关心别人头痛，关心别人健康的种子，比如你在别人头痛的时候，关心地递上一杯热水，给她递上一颗阿司匹林片并告诉她这颗药会对你的头痛有好处，我们就种下种子，未来我们的头痛才能够被阿司匹林片治好。 同样，如果我们种下了帮助别人学习英语的种子，也将获得遇到好的老师，遇到一些各式各样英文教学方法。这些好的老师与教学方法就像阿司匹林片一样，因为有种子，它就会对你有效。 好的老师也是空性的，因为他能够在你的眼里成为好的老师或有效的老师，那些英语的教法能够在你的学习中成为有效的方法，是因为你有种子。 好的老师也会有调整不过来的坏学生。Fotuo都说：“我没有教过法，每一个人都是因为自己的种子而去成就的。“ 这本2500年前流传至今的终极能断金刚智慧，如果你觉得它没有任何意思，胡言乱语或者是说没有感觉，它也是无效的。 但是也有人听闻此教法之后，满怀欣喜踏上了，去往人生更高境界终极智慧的道路，成长并进化为一个更高、更圆满的人。 此教法和学习英文是不是一样的道理呢？ 是的。你想要让它有效，你就必须要分享出去，你就必须去帮助别人。 想要得到什么，就必须先给出去。 我们想要得到智慧，就分享智慧；我们想要学好英文，就跟别人分享学英文的好方法，帮助别人学好英文。 如果我们能够去种下种子，你就会遇到对你有效的好老师，有效的学习英文的教法，你的英文就会因此突飞猛进。 举一反三，学习其它知识技能，是一样的套用。
种什么种子可以快速的看到孩子长高，是去探望照顾福利院的孩子吗？,种好种子的有两种方式：1、星巴克四步骤 第一步：确定目标，我想要孩子长高；第二步：找到一个也希望孩子能够健康茁壮成长的家长，做计划帮助他；第三步：去行动，具体地按照计划去帮助对方；第四步：咖啡冥想。 如何做计划去帮助对方的孩子长高呢？去收集很多帮助孩子长高的资讯，营养品，健康饮食运动等等分享给他；和他一起去督促孩子们做运动，注意饮食，睡眠等；把他的孩子当成自己的孩子一样，去跟他交流怎么帮孩子长高，即星巴克四步骤。 2、低频率辐射（迷你版四步骤）我们在同一颗种子上，在一天的时间里面对不同的人，都可以持续的高频率地去种。 举例：你为这位学生家长所找到的关于孩子健康长高的资讯，你都可以把它分享在你的朋友圈，分享给更多的妈妈；你还可以留意身边所有人在为同样的问题烦恼，你都可以伸出援手去分享相关的资讯，这就叫低频率辐射；就是同一颗种子我们遍地开花，有需求的人我们都要去帮助，两种方式都可以做，这个是第一个层次的回答。 第二个层次：在《Fo说前世今生》经典里告诉我们：“现在所拥有的无论是美好的或是有些遗憾的，无论是我们的身体、环境、样貌、一些残缺是来自于我们过去曾经种下过种子。” 比如：今生个子比较矮小是侏儒，那一定是跟我们前世种下过很多傲慢的种子有关。 Fotuo说：以前种了太多傲慢的种子，这需要双管齐下，就是，我们既要用星巴克四步骤，同时，我们要教育孩子，要更谦虚、更宽容、更宽厚的去对待他人，这样我们就能够种下好种子，避免傲慢、避免分别心。 其实，分别心就是一种傲慢的体现。例如：我喜欢这个人，我不喜欢那个人。我喜欢这个人的谈吐或者是他好像很有知识，而我不喜欢那个人因他谈吐很粗俗。我喜欢这个人因为他家世很好事业很成功，我不喜欢那个人因为他很颓废，他的家境很差等等。我们所有的分别心、傲慢心都将种下种子。
有时候我会觉得自己比较差劲，如何用空性来看自己？,格西老师曾说：我们不懂得欣赏他人，也不懂得欣赏自己，这是一种恶性循环，也是我们大家普遍存在的大问题。 你会发现，（恶性循环的结果）举例：一个新闻媒体，如果它每天播报的新闻是，阳光和正面积极的事情，可能就没有什么人观看。反之，如果是播报，某些名人出丑或某些名人破产了，总之，就是在很多人面前丢脸的事，那我们就会很愿意观看。 这个世界，大部分的人都喜欢去看，别人不好的那一面，去获得某些心理上阴暗的宣泄或是安慰，这是大部分人的一种常态。就这样，不欣赏他人、不欣赏自已，所种下的坏种子造成坏的循环，让我们更加不欣赏自己，也更加不欣赏别人，只会让我们痛苦、烦恼。 格西老师给到的解决方案： 要学会去欣赏自己；当你对自己有负面评判时，要反方向地去肯定自己的优点。 想像一下，世界上有一亿多的人，都在遵守交通规则开车。哪怕是黑手党、做坏事的人，当他们开着车时，都会遵守交通规则。 我们今天，并没有做马路杀手，让别人丢掉生命，是很平常的事情吗？其实不是的，因为就是我们，都愿意去遵守交通规则，都在做保护生命的事情。这些在我们平时看来，觉得就是应该做的事，都是值得去欣赏的。但我们不懂得发现，欣赏自己做得好的地方（因小果大），所以这些小小的事情，都是值得去欣赏的。如果我们，发现又开始对自己有负面评判时，反方向做一个动作，就是去肯定自己身上的优点。这对我们不断的去克服，对自己的负面评价是有帮助的。永远记住金刚咒是：想得到什么，必须先为别人去做！ 你如果仔细觉察，你会发现当一个人总是，对自己有很多负面评判时，他一定是，对外在世界也有很多负面评判。 无论对我们身处的环境或是我们遇到的人，我们都会时时刻刻升起，很多负面的分别心和评判，不懂得去欣赏他人就会种下种子，也让我们不懂得欣赏自己，这些都是相辅相成，会第三方循环回来。 我们行动的方法就是：学会去欣赏、鼓励、支持、赞美你身边的人。 当你开始对别人升起负面评价时，马上转念去觉察：她身上有什么优点呢？她身上有什么值得我学习的地方？大声地表达出来，甚至走到这个人的面前，握住她的手，对她表达。你对她的欣赏，表达你对她的赞美。 你不但会种下，能够获得欣赏他人和欣赏自己的好种子；你也会种下快乐的种子，会变的越来越快乐的。
我有一位同事，他在生活中没有目标，工作中也没有激情，他很盲然，那我该种什么种子去帮助到他？,这是一个很好的问题！美国金刚商学院DCI 2 阶的课程主题，就是《找到生命的激情》，对未来的希望，对生命的激情，就像我们意识的养料一样，它会让我们快乐而且积极地活着。 姚老师给大家两个建议： 第一，合适的时机，给他讲空性的道理，如果觉得时机还没有成熟，就给他当下所需要的帮助。比如说：你是不是觉得每天不开心啊，很简单。想要开心，就是要先让别人开心。你试一下，每天找三个人，让他们开心，你看看你自己会不会更开心，做一下尝试吧。 等时机成熟，你可以跟他分享笔的故事。并告诉他，我们想要得到激情，想要找到目标，很简单，去找一个也没有激情，没有目标的朋友去帮助他。 第二：你带着这位同事，一起去帮助一个人，一个没有目标也没有激情的人。 当你在跟朋友做星巴克交流时，你们在谈工作的目标、谈对未来的一些计划。你的同事会听到你们在谈论，吸收到你们的声音，以及所表达出来的信息，就会映入他的心识中，并且储存起来。当种子开花结果时，他就会产生更大的动力，希望去帮助别人，希望去找到自己的业力伙伴，去帮助别人树立人生的目标和工作的激情。 在金刚智慧的体系中，非常有意思的一点就是：我们越没有什么，我们越要给出去什么。 当财富匮乏时，我们越要培养慷慨大度的心；当在生病时，我们越要去关注他人的身体健康；当没有快乐时，我们越要赶快走出家门，去给他人带来快乐等。 可能有人疑惑：我都没有目标，没有激情，跟他聊什么，如何去帮助他？ 其实很简单，你只需要坐着聆听，就是一种很好的帮助。 因为在匆忙的现代生活中，我们已经太少关注他人了，所以当我们去关注和聆听的时候，你会觉得很有意思。同时也会在你心识中种下创意、激情的种子。有句古话叫：“三个臭皮匠顶个诸葛亮”。 因为每一个人在表达的时候，就会发现很多很好的想法，在脑海中成熟，所以，聆听和相互表达，会种下很多好种子。
要种下什么种子，可以让对方把本该属于我的东西，心甘情愿归还给我，而不是非要把关系搞僵，才能拿回来？,有几个层次来看待这个问题。首先最简单的，就是你现在需要心想事成的种子。第一，感恩。感恩生命中所拥有的，当你早上醒来，就要感恩你能够住在一个安全的房子，有一张舒适的床。感恩自己的身体一个晚上都在不停的呼吸，一直在帮助你运作整个身体；感恩父母赐予你生命；感恩自来水能够从水龙头里流出来；感恩生命中你觉得理所当然拥有的一切，都是奇迹才能够创造的。用一颗感恩的心，去看待你所拥有的，以及你身边所有的人事物，种下让你心想事成种子。第二，去帮助他人达成愿望。如果你想要别人能够心甘情愿，归还属于你的东西，那你就要帮助另一个人，去实现他的愿望，你就会种下种子，实现你的愿望。其次，我们还有一个更深层次的回答。在《能断金刚》这本书的后半部分，如果你有阅读，那么，你会对整个世界，对我和他人的关系，有更深的理解。你会更加明白，我和他人是一体的，就像手掌上的五个手指头一样。当我们看不清世界真相的时候，就以为那一个一个手指头是分离的，就好像我们一个一个的人，从外表的物理观感上，我们每一个人，都是独立的个体。但是，如果我们能够看清楚宇宙的实相，会发现一个一个的手指头的下面，是连在一起的手掌。宇宙的实相，在告诉我们：我们和他人是一体的。这里，我还想分享一个“两张嘴的故事”。就是我的嘴巴吃到饼干，是因为我曾经把饼干喂到别人的嘴里，种下种子，我的嘴，才会吃到更多的饼干。我的嘴和他人的嘴，从物理概念和外表上来看，是分离的，但从功能上，你我的嘴是一体的。当你越明白我和他人的关系，你就会越明白，实际上，没有所谓的“只是我的东西”，和“不是他的东西”，没有这样的概念。当你越明白这点的时候，那么，感恩，和帮助他人达成愿望，这两颗种子，你会播种的越好。如果你能够越明白，没有一个我的存在，而我和他人，就像手掌和手指的关系一样，你就越能够把种子种好。
